Attribute,Index,Dirty Value,Cleaned Value
article_jcreated_at,582,4/1/14,1/14/04
article_jcreated_at,583,1/1/13,1/13/01
article_jcreated_at,584,1/1/11,1/11/01
article_jcreated_at,586,10/1/09,1/9/10
article_jcreated_at,587,9/1/09,1/9/09
article_jcreated_at,588,12/1/03,1/3/12
article_jcreated_at,589,1/1/13,1/13/01
article_jcreated_at,591,1/1/13,1/13/01
article_jcreated_at,592,1/1/14,1/14/01
article_jcreated_at,594,1/1/05,1/5/01
article_jcreated_at,595,4/1/05,1/5/04
article_jcreated_at,596,1/1/10,1/10/01
article_jcreated_at,597,10/1/10,1/10/10
article_jcreated_at,598,1/1/02,1/2/01
article_jcreated_at,599,1/1/11,1/11/01
article_jcreated_at,600,1/1/14,1/14/01
article_jcreated_at,601,9/1/15,1/15/09
article_jcreated_at,602,1/1/14,1/14/01
article_jcreated_at,603,8/1/07,1/7/08
article_jcreated_at,604,1/1/12,1/12/01
article_jcreated_at,605,10/1/14,1/14/10
article_jcreated_at,607,1/1/09,1/9/01
article_jcreated_at,610,12/1/03,1/3/12
article_jcreated_at,611,9/1/14,1/14/09
article_jcreated_at,612,10/1/03,1/3/10
article_jcreated_at,614,1/1/13,1/13/01
article_jcreated_at,615,4/1/11,1/11/04
article_jcreated_at,616,2/6/14,6/14/02
article_jcreated_at,617,9/1/04,1/4/09
article_jcreated_at,619,1/1/08,1/8/01
article_jcreated_at,620,1/1/14,1/14/01
article_jcreated_at,621,1/1/06,1/6/01
article_jcreated_at,622,8/1/10,1/10/08
article_jcreated_at,623,1/1/05,1/5/01
article_jcreated_at,624,1/1/13,1/13/01
article_jcreated_at,625,1/1/11,1/11/01
article_jcreated_at,626,9/1/08,1/8/09
article_jcreated_at,628,12/1/01,1/1/12
article_jcreated_at,629,12/1/13,1/13/12
article_jcreated_at,630,1/1/15,1/15/01
article_jcreated_at,631,1/1/11,1/11/01
article_jcreated_at,633,1/1/13,1/13/01
article_jcreated_at,634,1/1/12,1/12/01
article_jcreated_at,636,1/1/03,1/3/01
article_jcreated_at,637,1/1/09,1/9/01
article_jcreated_at,638,1/1/09,1/9/01
article_jcreated_at,639,8/1/14,1/14/08
article_jcreated_at,640,1/1/09,1/9/01
article_jcreated_at,642,1/1/06,1/6/01
article_jcreated_at,643,11/4/15,4/15/11
article_jcreated_at,644,11/1/11,1/11/11
article_jcreated_at,647,3/1/12,1/12/03
article_jcreated_at,649,1/1/07,1/7/01
article_jcreated_at,651,7/2/08,2/8/07
article_jcreated_at,652,6/1/11,1/11/06
article_jcreated_at,653,1/1/10,1/10/01
article_jcreated_at,654,1/1/15,1/15/01
article_jcreated_at,655,1/1/13,1/13/01
article_jcreated_at,656,1/1/04,1/4/01
article_jcreated_at,657,10/1/08,1/8/10
article_jcreated_at,658,10/1/10,1/10/10
article_jcreated_at,659,3/1/15,1/15/03
article_jcreated_at,660,10/1/13,1/13/10
article_jcreated_at,661,7/1/14,1/14/07
article_jcreated_at,662,1/1/11,1/11/01
article_jcreated_at,663,5/1/11,1/11/05
article_jcreated_at,664,1/1/14,1/14/01
article_jcreated_at,665,5/1/12,1/12/05
article_jcreated_at,666,1/1/15,1/15/01
article_jcreated_at,667,1/1/15,1/15/01
article_jcreated_at,668,2/1/13,1/13/02
article_jcreated_at,669,1/1/08,1/8/01
article_jcreated_at,670,1/1/07,1/7/01
article_jcreated_at,671,1/1/14,1/14/01
article_jcreated_at,672,1/1/11,1/11/01
article_jcreated_at,674,1/1/09,1/9/01
article_jcreated_at,675,10/1/04,1/4/10
article_jcreated_at,676,1/1/11,1/11/01
article_jcreated_at,678,1/1/07,1/7/01
article_jcreated_at,679,1/1/10,1/10/01
article_jcreated_at,680,8/1/08,1/8/08
article_jcreated_at,681,3/1/13,1/13/03
article_jcreated_at,682,1/1/13,1/13/01
article_jcreated_at,683,1/1/13,1/13/01
article_jcreated_at,684,9/1/01,1/1/09
article_jcreated_at,685,1/1/10,1/10/01
article_jcreated_at,686,1/1/14,1/14/01
article_jcreated_at,687,1/1/14,1/14/01
article_jcreated_at,688,1/1/09,1/9/01
article_jcreated_at,689,7/1/09,1/9/07
article_jcreated_at,691,11/1/06,1/6/11
article_jcreated_at,692,1/1/08,1/8/01
article_jcreated_at,693,1/1/14,1/14/01
article_jcreated_at,695,8/1/06,1/6/08
article_jcreated_at,696,1/1/14,1/14/01
article_jcreated_at,698,1/1/08,1/8/01
article_jcreated_at,699,1/1/07,1/7/01
article_jcreated_at,701,1/1/12,1/12/01
article_jcreated_at,702,1/1/14,1/14/01
article_jcreated_at,703,1/1/15,1/15/01
article_jcreated_at,705,1/1/14,1/14/01
article_jcreated_at,707,6/1/12,1/12/06
article_jcreated_at,708,7/1/02,1/2/07
article_jcreated_at,710,1/1/07,1/7/01
article_jcreated_at,713,1/1/12,1/12/01
article_jcreated_at,714,1/1/08,1/8/01
article_jcreated_at,715,10/1/13,1/13/10
article_jcreated_at,716,4/1/14,1/14/04
article_jcreated_at,717,1/1/02,1/2/01
article_jcreated_at,718,1/1/14,1/14/01
article_jcreated_at,719,1/1/04,1/4/01
article_jcreated_at,720,1/1/08,1/8/01
article_jcreated_at,721,1/1/12,1/12/01
article_jcreated_at,722,1/1/15,1/15/01
article_jcreated_at,723,1/1/07,1/7/01
article_jcreated_at,724,10/1/12,1/12/10
article_jcreated_at,730,10/1/11,1/11/10
article_jcreated_at,731,1/1/14,1/14/01
article_jcreated_at,732,1/1/08,1/8/01
article_jcreated_at,733,8/1/05,1/5/08
article_jcreated_at,734,1/1/14,1/14/01
article_jcreated_at,735,1/1/09,1/9/01
article_jcreated_at,736,1/1/02,1/2/01
article_jcreated_at,737,1/1/06,1/6/01
article_jcreated_at,738,1/1/10,1/10/01
article_jcreated_at,741,1/1/10,1/10/01
article_jcreated_at,743,1/1/05,1/5/01
article_jcreated_at,746,1/1/13,1/13/01
article_jcreated_at,747,1/1/14,1/14/01
article_jcreated_at,749,1/1/13,1/13/01
article_jcreated_at,750,5/1/11,1/11/05
article_jcreated_at,751,1/1/04,1/4/01
article_jcreated_at,752,8/1/02,1/2/08
article_jcreated_at,753,1/1/05,1/5/01
article_jcreated_at,754,5/1/13,1/13/05
article_jcreated_at,756,1/1/10,1/10/01
article_jcreated_at,757,6/1/01,1/1/06
article_jcreated_at,761,1/1/03,1/3/01
article_jcreated_at,762,7/1/07,1/7/07
article_jcreated_at,763,7/1/06,1/6/07
article_jcreated_at,764,1/1/12,1/12/01
article_jcreated_at,765,11/1/13,1/13/11
article_jcreated_at,766,4/1/09,1/9/04
article_jcreated_at,769,7/4/14,4/14/07
article_jcreated_at,770,1/1/14,1/14/01
article_jcreated_at,771,9/1/08,1/8/09
article_jcreated_at,773,7/1/14,1/14/07
article_jcreated_at,777,6/1/13,1/13/06
article_jcreated_at,779,1/1/06,1/6/01
article_jcreated_at,780,5/1/02,1/2/05
article_jcreated_at,782,6/1/10,1/10/06
article_jcreated_at,784,4/1/11,1/11/04
article_jcreated_at,785,7/1/12,1/12/07
article_jcreated_at,786,1/1/13,1/13/01
article_jcreated_at,787,1/1/14,1/14/01
article_jcreated_at,789,1/1/10,1/10/01
article_jcreated_at,791,12/1/14,1/14/12
article_jcreated_at,794,1/1/13,1/13/01
article_jcreated_at,796,12/1/12,1/12/12
article_jcreated_at,798,9/1/04,1/4/09
article_jcreated_at,800,8/1/12,1/12/08
article_jcreated_at,801,11/1/14,1/14/11
article_jcreated_at,802,1/1/03,1/3/01
article_jcreated_at,804,1/1/05,1/5/01
article_jcreated_at,807,2/10/14,10/14/02
article_jcreated_at,808,1/1/15,1/15/01
article_jcreated_at,809,3/1/08,1/8/03
article_jcreated_at,811,1/1/12,1/12/01
article_jcreated_at,813,1/1/14,1/14/01
article_jcreated_at,814,7/1/06,1/6/07
article_jcreated_at,815,1/1/14,1/14/01
article_jcreated_at,816,1/1/14,1/14/01
article_jcreated_at,817,1/1/13,1/13/01
article_jcreated_at,819,1/1/05,1/5/01
article_jcreated_at,821,1/1/14,1/14/01
article_jcreated_at,822,4/1/14,1/14/04
article_jcreated_at,823,1/1/04,1/4/01
article_jcreated_at,825,4/1/11,1/11/04
article_jcreated_at,826,4/1/15,1/15/04
article_jcreated_at,827,1/1/08,1/8/01
article_jcreated_at,828,11/1/10,1/10/11
article_jcreated_at,829,1/1/12,1/12/01
article_jcreated_at,830,4/1/15,1/15/04
article_jcreated_at,831,1/1/03,1/3/01
article_jcreated_at,834,10/1/07,1/7/10
article_jcreated_at,835,5/1/06,1/6/05
article_jcreated_at,836,1/1/13,1/13/01
article_jcreated_at,838,3/1/10,1/10/03
article_jcreated_at,839,11/1/13,1/13/11
article_jcreated_at,842,5/7/09,7/9/05
article_jcreated_at,843,1/1/14,1/14/01
article_jcreated_at,845,1/1/14,1/14/01
article_jcreated_at,846,1/1/10,1/10/01
article_jcreated_at,847,1/1/14,1/14/01
article_jcreated_at,848,1/1/11,1/11/01
article_jcreated_at,849,10/1/07,1/7/10
article_jcreated_at,850,1/1/11,1/11/01
article_jcreated_at,851,5/1/07,1/7/05
article_jcreated_at,852,1/1/14,1/14/01
article_jcreated_at,854,6/10/02,10/2/06
article_jcreated_at,855,1/1/14,1/14/01
article_jcreated_at,857,1/1/10,1/10/01
article_jcreated_at,858,1/1/06,1/6/01
article_jcreated_at,859,1/1/09,1/9/01
article_jcreated_at,860,1/1/15,1/15/01
article_jcreated_at,861,1/1/14,1/14/01
article_jcreated_at,863,1/1/15,1/15/01
article_jcreated_at,864,7/7/14,7/14/07
article_jcreated_at,865,1/1/10,1/10/01
article_jcreated_at,866,1/1/05,1/5/01
article_jcreated_at,867,1/1/06,1/6/01
article_jcreated_at,868,3/1/09,1/9/03
article_jcreated_at,869,1/1/10,1/10/01
article_jcreated_at,870,1/1/05,1/5/01
article_jcreated_at,871,1/1/02,1/2/01
article_jcreated_at,872,1/1/14,1/14/01
article_jcreated_at,874,1/1/05,1/5/01
article_jcreated_at,875,1/1/14,1/14/01
article_jcreated_at,876,1/1/04,1/4/01
article_jcreated_at,879,3/1/13,1/13/03
article_jcreated_at,880,5/1/01,1/1/05
article_jcreated_at,881,6/1/03,1/3/06
article_jcreated_at,882,1/1/11,1/11/01
article_jcreated_at,883,1/1/11,1/11/01
article_jcreated_at,886,1/1/15,1/15/01
article_jcreated_at,887,1/1/06,1/6/01
article_jcreated_at,889,1/1/13,1/13/01
article_jcreated_at,890,1/1/09,1/9/01
article_jcreated_at,892,1/1/03,1/3/01
article_jcreated_at,893,1/1/08,1/8/01
article_jcreated_at,894,6/1/12,1/12/06
article_jcreated_at,895,1/1/09,1/9/01
article_jcreated_at,898,1/1/05,1/5/01
article_jcreated_at,900,7/1/05,1/5/07
article_jcreated_at,901,1/1/10,1/10/01
article_jcreated_at,902,11/1/07,1/7/11
article_jcreated_at,903,9/1/13,1/13/09
article_jcreated_at,904,1/1/09,1/9/01
article_jcreated_at,905,3/1/14,1/14/03
article_jcreated_at,906,1/1/14,1/14/01
article_jcreated_at,907,1/1/12,1/12/01
article_jcreated_at,908,9/1/14,1/14/09
article_jcreated_at,909,1/1/05,1/5/01
article_jcreated_at,910,12/1/13,1/13/12
article_jcreated_at,911,1/1/07,1/7/01
article_jcreated_at,912,6/1/15,1/15/06
article_jcreated_at,914,11/1/13,1/13/11
article_jcreated_at,915,3/1/14,1/14/03
article_jcreated_at,916,1/1/02,1/2/01
article_jcreated_at,919,3/1/02,1/2/03
article_jcreated_at,920,1/1/14,1/14/01
article_jcreated_at,923,1/1/03,1/3/01
article_jcreated_at,925,4/1/15,1/15/04
article_jcreated_at,927,9/1/12,1/12/09
article_jcreated_at,931,2/1/15,1/15/02
article_jcreated_at,932,7/10/13,10/13/07
article_jcreated_at,935,1/1/05,1/5/01
article_jcreated_at,936,1/1/15,1/15/01
article_jcreated_at,937,1/1/03,1/3/01
article_jcreated_at,939,1/1/14,1/14/01
article_jcreated_at,940,1/1/08,1/8/01
article_jcreated_at,941,1/1/14,1/14/01
article_jcreated_at,942,1/1/10,1/10/01
article_jcreated_at,944,5/1/11,1/11/05
article_jcreated_at,945,1/1/09,1/9/01
article_jcreated_at,946,1/1/11,1/11/01
article_jcreated_at,950,1/1/12,1/12/01
article_jcreated_at,951,1/1/14,1/14/01
article_jcreated_at,952,1/1/14,1/14/01
article_jcreated_at,954,5/1/10,1/10/05
article_jcreated_at,955,1/1/10,1/10/01
article_jcreated_at,957,1/1/05,1/5/01
article_jcreated_at,958,10/1/13,1/13/10
article_jcreated_at,960,5/1/15,1/15/05
article_jcreated_at,961,1/1/15,1/15/01
article_jcreated_at,962,6/1/05,1/5/06
article_jcreated_at,963,1/1/14,1/14/01
article_jcreated_at,965,1/1/13,1/13/01
article_jcreated_at,966,8/1/13,1/13/08
article_jcreated_at,967,10/1/03,1/3/10
article_jcreated_at,968,1/1/13,1/13/01
article_jcreated_at,971,1/1/13,1/13/01
article_jcreated_at,972,1/1/13,1/13/01
article_jcreated_at,973,1/1/07,1/7/01
article_jcreated_at,974,6/1/14,1/14/06
article_jcreated_at,975,10/1/14,1/14/10
article_jcreated_at,976,9/1/15,1/15/09
article_jcreated_at,978,11/1/10,1/10/11
article_jcreated_at,980,7/1/12,1/12/07
article_jcreated_at,981,8/1/09,1/9/08
article_jcreated_at,983,1/1/10,1/10/01
article_jcreated_at,984,2/1/01,1/1/02
article_jcreated_at,985,1/1/13,1/13/01
article_jcreated_at,987,1/1/13,1/13/01
article_jcreated_at,989,1/1/05,1/5/01
article_jcreated_at,990,9/1/14,1/14/09
article_jcreated_at,992,11/1/13,1/13/11
article_jcreated_at,993,4/1/14,1/14/04
article_jcreated_at,994,1/1/14,1/14/01
article_jcreated_at,995,6/1/02,1/2/06
article_jcreated_at,997,1/1/07,1/7/01
article_jcreated_at,999,1/1/11,1/11/01
article_jcreated_at,1000,1/1/12,1/12/01
article_pagination,76,17-8,Aug-17
article_pagination,92,93-7,Jul-93
article_pagination,167,43-4,Apr-43
article_pagination,385,70-6,Jun-70
article_pagination,418,91-3,Mar-91
article_pagination,424,43-8,Aug-43
article_pagination,456,51-5,May-51
article_pagination,480,94-9,Sep-94
article_pagination,527,83-7,Jul-83
article_pagination,591,81-3,Mar-81
article_pagination,616,93-6,Jun-93
article_pagination,706,36-9,Sep-36
article_pagination,718,64-7,Jul-64
article_pagination,736,74-6,Jun-74
article_pagination,781,84-8,Aug-84
article_pagination,797,91-8,Aug-91
article_pagination,863,72-7,Jul-72
article_pagination,920,41-7,Jul-41
article_pagination,976,71-7,Jul-71
author_list,8,{St��_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T},{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
author_list,38,{R Loch MacdonaldFarbod Asgarzadie-GadimYeon Gyoe JangDaniel J CurryRachel N YanowitchKim E SchultheissJocelyn TolentinoJ�_rgen L�_ders},{R Loch MacdonaldFarbod Asgarzadie-GadimYeon Gyoe JangDaniel J CurryRachel N YanowitchKim E SchultheissJocelyn TolentinoJ_rgen L_ders}
author_list,68,{M. PujolP. Barrag��nJ.M. TiraboschiA. ImazM.́. Dom�_nguezD. Podzamczer},{M. PujolP. BarragnJ.M. TiraboschiA. ImazM.. Dom_nguezD. Podzamczer}
author_list,70,{O Ceki̤C Batman},{O CekiC Batman}
author_list,72,{Cecilia Bj̦rkelundMargaretha Jerlock},{Cecilia BjrkelundMargaretha Jerlock}
author_list,84,{E HuguetO PortaE Mart�_nezI MoraM Sim�_J PubillJ A OrtegaM T Castillo},{E HuguetO PortaE Mart_nezI MoraM Sim_J PubillJ A OrtegaM T Castillo}
author_list,86,{Miquel S����nchez-Marr���Geoff HolmesJoaqu���_n IzquierdoJoaquim ComasIoannis AthanasiadisKarina Gibert},{Miquel Snchez-MarrGeoff HolmesJoaqu_n IzquierdoJoaquim ComasIoannis AthanasiadisKarina Gibert}
author_list,97,{N. JakubikL. TrzpilF. RaciborskiU. Samolinska-ZawiszaL. Samoli̱skiD. PaczesnyZ. HalatJ. MarszalkowskaB. SamolinskiP. Samel-KowalikA. LusawaJ. GutowskaA. TomaszewskaA. Walkiewicz},{N. JakubikL. TrzpilF. RaciborskiU. Samolinska-ZawiszaL. SamoliskiD. PaczesnyZ. HalatJ. MarszalkowskaB. SamolinskiP. Samel-KowalikA. LusawaJ. GutowskaA. TomaszewskaA. Walkiewicz}
author_list,102,{M. Tercedor S��nchezJ.A. Prieto Velasco},{M. Tercedor SnchezJ.A. Prieto Velasco}
author_list,119,{G̩raldine Martin-GaujardFloriane Delphin-CombeIsabelle RouchSolveig RellandPierre Krolak-Salmon},{Graldine Martin-GaujardFloriane Delphin-CombeIsabelle RouchSolveig RellandPierre Krolak-Salmon}
author_list,126,{V Cus�_H GalvezM IriondoJ CampistolI M��lagaA Garc�_a Cazorla},{V Cus_H GalvezM IriondoJ CampistolI MlagaA Garc_a Cazorla}
author_list,130,{di Raimondo D.Pinto A.Lucifora B.Tuttolomondo A.Licata G.Butt�� C.},{di Raimondo D.Pinto A.Lucifora B.Tuttolomondo A.Licata G.Butt C.}
author_list,159,{D Chochol���R ChaloupkaB KalaJ GalloM Netval},{D ChocholR ChaloupkaB KalaJ GalloM Netval}
author_list,171,{A PhilotheouS R HellerJ JendleM-A GallK K��lendorfG P RossG PerrielloI Pavlic-Renar},{A PhilotheouS R HellerJ JendleM-A GallK KlendorfG P RossG PerrielloI Pavlic-Renar}
author_list,182,{Michiel A J KompierEtty G A Wielenga-MeijerDani��l H J WigboldusToon W Taris},{Michiel A J KompierEtty G A Wielenga-MeijerDanil H J WigboldusToon W Taris}
author_list,199,{John M O�_CallaghanRobert D MorganPeter J MorrisSimon R Knight},{John M O_CallaghanRobert D MorganPeter J MorrisSimon R Knight}
author_list,237,{Andreas M���_ggeChristoph HanefeldRainer H B���ger[Collective Name] CARDIAC study investigators},{Andreas M_ggeChristoph HanefeldRainer H Bger[Collective Name] CARDIAC study investigators}
author_list,240,{L RamosS Mathur�_nA MateoC L�_pezC G�_mez},{L RamosS Mathur_nA MateoC L_pezC G_mez}
author_list,243,{Anders HallingH̴kan OdebergHenrik ForssellJacob OdebergMarie-Louise PerssonLennart R̴stamIvar VaaraUlf LindbladMichael Freitag},{Anders HallingHkan OdebergHenrik ForssellJacob OdebergMarie-Louise PerssonLennart RstamIvar VaaraUlf LindbladMichael Freitag}
author_list,248,{Luiz Rog̩rio de Carvalho OliveiraNilza Aparecida Almeida de CarvalhoFl��vio C L Cavalcanti Ara̼joIzabela Menezes PagottoPaulo Chiavone},{Luiz Rogrio de Carvalho OliveiraNilza Aparecida Almeida de CarvalhoFlvio C L Cavalcanti ArajoIzabela Menezes PagottoPaulo Chiavone}
author_list,288,{N. M. PinheiroR. Almeida-ReisL. OlivaM. A. MartinsM. L. V. OlivaO. A. Theodoro-JuniorE. A. LeickI. F. L. C. Tib̩rioC. M. PradoR. F. RighettiB. T. M. Oliveira},{N. M. PinheiroR. Almeida-ReisL. OlivaM. A. MartinsM. L. V. OlivaO. A. Theodoro-JuniorE. A. LeickI. F. L. C. TibrioC. M. PradoR. F. RighettiB. T. M. Oliveira}
author_list,290,{M. NiewadaJ. Pawe��skaA. BudajT. MaciochP. Perkowski},{M. NiewadaJ. PaweskaA. BudajT. MaciochP. Perkowski}
author_list,294,{Ge H.-Y.Fern��ndez-de-las-Pe̱as C.Yue S.-W.},{Ge H.-Y.Fernndez-de-las-Peas C.Yue S.-W.}
author_list,305,{Costin M.Dumbrav�_ E.L.Postolache P.Cojocaru D.C.},{Costin M.Dumbrav_ E.L.Postolache P.Cojocaru D.C.}
author_list,320,{Jesper I ReimersSabrina G Elles��eHenrik �� Andersen},{Jesper I ReimersSabrina G ElleseHenrik  Andersen}
author_list,322,{S MuratH AvseverS Y�_kselC S PaksoyB OnderK Kamburoglu},{S MuratH AvseverS Y_kselC S PaksoyB OnderK Kamburoglu}
author_list,323,{Angel Rosa-Alc����zarAna I Rosa-Alc����zarMarina Iniesta-Sep���lveda},{Angel Rosa-AlczarAna I Rosa-AlczarMarina Iniesta-Seplveda}
author_list,327,{Diana DuroAugusto GouḷoGon̤alo SantosNuno Mendon̤aIsabel SantanaEg�_dio Machado},{Diana DuroAugusto GouloGonalo SantosNuno MendonaIsabel SantanaEg_dio Machado}
author_list,336,{G VaksmannA VincentelliC FrancartM A CajotG M Brevi̬reF GodartJ M CoulletP DevosC Rey},{G VaksmannA VincentelliC FrancartM A CajotG M BrevireF GodartJ M CoulletP DevosC Rey}
author_list,344,{Renata Vrsalovi����Eva VeronaIva Mihatov-Stefanovi����Biserka Cicak},{Renata VrsaloviEva VeronaIva Mihatov-StefanoviBiserka Cicak}
author_list,358,{Akin Uz�_mc�_gilMeral Top̤uM Fani BozkurtSinem Akg�_l},{Akin Uz_mc_gilMeral TopuM Fani BozkurtSinem Akg_l}
author_list,385,{T ReinholdF M�_ller-RiemenschneiderS N Willich},{T ReinholdF M_ller-RiemenschneiderS N Willich}
author_list,393,{J AranaE RezolaA VillanuevaM I IntxaurrondoM Su̱olI EizaguirreJ Garay},{J AranaE RezolaA VillanuevaM I IntxaurrondoM SuolI EizaguirreJ Garay}
author_list,428,{Serkan DurduAhmet R���_���han AkarG���_nseli Cubuk���uo����lu Deniz},{Serkan DurduAhmet R_han AkarG_nseli Cubukuolu Deniz}
author_list,430,{K. TamakiA. G. C��larS. BeyrerH. Aoki},{K. TamakiA. G. ClarS. BeyrerH. Aoki}
author_list,437,{Yi WangYu ZhouRongDang HuXiuYing WangGerald Voli̬re},{Yi WangYu ZhouRongDang HuXiuYing WangGerald Volire}
author_list,440,{M RadererC GedlickaA LenauerD DepischW ScheithauerB SchneeweissW FiebigerF LangG V KornekB Sch���_ll},{M RadererC GedlickaA LenauerD DepischW ScheithauerB SchneeweissW FiebigerF LangG V KornekB Sch_ll}
author_list,449,{Marie-Pierre GagnonClaude Sicotte��dith-Romy NsangouSonya GrenierJulie Payne-Gagnon},{Marie-Pierre GagnonClaude Sicottedith-Romy NsangouSonya GrenierJulie Payne-Gagnon}
author_list,456,{Przemys��aw P SzyberArtur PupkaPiotr SzyberJerzy Garcarek},{Przemysaw P SzyberArtur PupkaPiotr SzyberJerzy Garcarek}
author_list,469,{Nielsen H.O.Edwin B.H�_nerbein M.Hovendal C.Liedman B.Mortensen M.B.},{Nielsen H.O.Edwin B.H_nerbein M.Hovendal C.Liedman B.Mortensen M.B.}
author_list,483,{Linsenmaier UGeyer LLK���rner MMeisel CDWirth SReiser MF},{Linsenmaier UGeyer LLKrner MMeisel CDWirth SReiser MF}
author_list,486,{L LenhardtS MozesA Martinkov��},{L LenhardtS MozesA Martinkov}
author_list,501,{S��ren Brostr��mGunnar Lose},{Sren BrostrmGunnar Lose}
author_list,506,{E A M JanssenC BrodinP OgreidK KjellevoldL G G��ranssonL VattenP R RomundstadR OmdalK Wildhagen},{E A M JanssenC BrodinP OgreidK KjellevoldL G GranssonL VattenP R RomundstadR OmdalK Wildhagen}
author_list,532,{George Davey SmithAmanda J BennettEleftheria ZegginiMarjo-Riitta JarvelinNicholas J WarehamLorna W HarriesColin N A PalmerShah EbrahimTimothy M FraylingSusan M RingBridget KnightSian EllardKatharine R OwenRachel M FreathyHana LangoDebbie A LawlorLon R CardonJohn R B PerryJeffrey C BarrettAndrew D MorrisGraham A HitmanKatherine S ElliottUlla SovioMark I McCarthyDavid MelzerAlex S F DoneyAndrew R NessYoav Ben-ShlomoAndrew T HattersleyAnn-Marie PatchNicholas J TimpsonNigel W RaynerMark WalkerMichael N WeedonRuth J F LoosFredrik KarpeIn̻s BarrosoLuigi FerrucciChristopher J GrovesCecilia M LindgrenBeverley Shields},{George Davey SmithAmanda J BennettEleftheria ZegginiMarjo-Riitta JarvelinNicholas J WarehamLorna W HarriesColin N A PalmerShah EbrahimTimothy M FraylingSusan M RingBridget KnightSian EllardKatharine R OwenRachel M FreathyHana LangoDebbie A LawlorLon R CardonJohn R B PerryJeffrey C BarrettAndrew D MorrisGraham A HitmanKatherine S ElliottUlla SovioMark I McCarthyDavid MelzerAlex S F DoneyAndrew R NessYoav Ben-ShlomoAndrew T HattersleyAnn-Marie PatchNicholas J TimpsonNigel W RaynerMark WalkerMichael N WeedonRuth J F LoosFredrik KarpeIns BarrosoLuigi FerrucciChristopher J GrovesCecilia M LindgrenBeverley Shields}
author_list,533,{H H̦gerW SieghartT KlausbergerI MilenkovicM VasiljevicD Maurer},{H HgerW SieghartT KlausbergerI MilenkovicM VasiljevicD Maurer}
author_list,556,{R CarraroM F RasmussenL NiskanenA HarperN FinerS R̦ssnerM KunesovaL Van GaalM E J LeanA AstrupA RissanenM J Savolainen[Collective Name] NN8022-1807 Investigators},{R CarraroM F RasmussenL NiskanenA HarperN FinerS RssnerM KunesovaL Van GaalM E J LeanA AstrupA RissanenM J Savolainen[Collective Name] NN8022-1807 Investigators}
author_list,562,{Gerlane ��ngela da Costa MoreiraDenyse Dutra Alencar VasconcelosAmanda Costa de FreitasCarla Cristina Braga Maranh���oDanielle Figueiredo Patricio},{Gerlane ngela da Costa MoreiraDenyse Dutra Alencar VasconcelosAmanda Costa de FreitasCarla Cristina Braga MaranhoDanielle Figueiredo Patricio}
author_list,564,{Philipp MartiusAnna BuchheimPeter BuchheimSusanne H���rzMichael RentropCord BeneckePeter SchusterMelitta Fischer-KernStephan Doering},{Philipp MartiusAnna BuchheimPeter BuchheimSusanne HrzMichael RentropCord BeneckePeter SchusterMelitta Fischer-KernStephan Doering}
author_list,571,{Ana Maria Baptista MenezesDavid Alejandro Gonz��lezElaine Cardozo MacedoPedro Curi HallalMaria de F��tima MaiaMarli KnorstSamuel Carvalho DumithJeovany Mart�_nez-MesaRicardo Bica NoalFernando C̩sar WehrmeisterJos̩ Roberto Jardim},{Ana Maria Baptista MenezesDavid Alejandro GonzlezElaine Cardozo MacedoPedro Curi HallalMaria de Ftima MaiaMarli KnorstSamuel Carvalho DumithJeovany Mart_nez-MesaRicardo Bica NoalFernando Csar WehrmeisterJos Roberto Jardim}
author_list,582,{Anna NideckerSiamak ArdekaniE Mark MahoneFirouzeh TannaziJarunee IntrapiromkulMoody WharamLarry J BrantAlena Horsk��},{Anna NideckerSiamak ArdekaniE Mark MahoneFirouzeh TannaziJarunee IntrapiromkulMoody WharamLarry J BrantAlena Horsk}
author_list,615,{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos̩ L�_pez-Send�_nPhilippe Gabriel StegKay Lee Park},{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos L_pez-Send_nPhilippe Gabriel StegKay Lee Park}
author_list,616,{Marcus R Munaf�_Mike W PeaceyIn-Uck Park},{Marcus R Munaf_Mike W PeaceyIn-Uck Park}
author_list,622,{R SchwarzJ ErnstM ZengerE Br�_hlerR Schmidt},{R SchwarzJ ErnstM ZengerE Br_hlerR Schmidt}
author_list,623,{M. RossignolF. A. AllaertB. BannwarthJ. P. C1  - Fr̴n RCT-șkningen CN  - Pubmed DA  - Jun DP  - NLM ET  - 2005/06/09 ValatS. RozenbergB. Avouac},{M. RossignolF. A. AllaertB. BannwarthJ. P. C1  - Frn RCT-skningen CN  - Pubmed DA  - Jun DP  - NLM ET  - 2005/06/09 ValatS. RozenbergB. Avouac}
